country,pop1,pop2,pop3,pop1PC,pop2PC,pop3PC,pcEN,pcES,pcFR,motivSchool,motivWork,motivTravel,motivBrain,motivFamily,motivCulture,motivOther,ui1,ui2,ui1PC,ui2PC,covidPop1,covidPop2,covidPop3,covidSchool,covidWork,covidTravel,covidBrain,covidFamily,covidCulture,covidOther
Portugal,English,French,Spanish,0.396136176,0.140527422,0.114047104,0.396136176,0.114047104,0.140527422,0.264156082,0.191680856,0.137816886,0.117090415,0.093064207,0.105343035,0.090848519,Portuguese,English,0.499461302,0.192177211,English,French,Spanish,0.253031914,0.192680391,0.111598342,0.136940963,0.089290622,0.130022822,0.086434947
Qatar,English,French,Spanish,0.305091274,0.140042579,0.136919417,0.305091274,0.136919417,0.140042579,0.209824177,0.153542679,0.11277964,0.156370436,0.135492919,0.098994322,0.132995827,English,Arabic,0.473934611,0.247437706,English,Spanish,French,0.179969347,0.14460033,0.113416647,0.17879038,0.124322094,0.108818675,0.150082528
Romania,English,Spanish,German,0.475244049,0.091917561,0.089742074,0.475244049,0.091917561,0.086272704,0.247077088,0.17259461,0.14552834,0.122846954,0.090349814,0.106096035,0.115507159,Romanian,English,0.395482766,0.339033679,English,Spanish,French,0.236286458,0.161390869,0.141595521,0.136550989,0.091744875,0.116352352,0.116078935
Russia,English,German,French,0.63161165,0.092774233,0.072732698,0.63161165,0.072248168,0.072732698,0.286332727,0.122372907,0.239424089,0.152592748,0.057675691,0.043565675,0.098036162,Russian,English,0.699509703,0.106636991,English,German,French,0.275533826,0.114643853,0.240946944,0.161904637,0.06060737,0.040712444,0.105650926
Rwanda,French,Spanish,English,0.285880227,0.192866976,0.168473585,0.168473585,0.192866976,0.285880227,0.193601822,0.175276944,0.100424475,0.210063154,0.150636712,0.05901232,0.110984574,English,French,0.576621924,0.154792635,French,Spanish,English,0.196365768,0.172332943,0.087338804,0.213950762,0.157092614,0.050410317,0.122508792
Saudi-Arabia,English,French,Spanish,0.717369579,0.067051283,0.042995057,0.717369579,0.042995057,0.067051283,0.304065607,0.100802535,0.079272152,0.15119107,0.141964282,0.120292929,0.102411425,Arabic,English,0.72623634,0.16988018,English,French,Spanish,0.243987061,0.111300673,0.085459383,0.169583138,0.134486357,0.138941931,0.116241457
Senegal,English,Spanish,French,0.606142292,0.116831313,0.101327558,0.606142292,0.116831313,0.101327558,0.285461696,0.186659757,0.119074475,0.093223181,0.141511447,0.088498003,0.085571442,French,English,0.658823896,0.140624513,English,Spanish,French,0.2803513,0.217323919,0.117961081,0.096607543,0.111072843,0.083347684,0.093335629
Serbia,German,Spanish,English,0.236240573,0.170543757,0.093323688,0.093323688,0.170543757,0.093010534,0.19097006,0.159591763,0.1420014,0.155816888,0.114370423,0.091528301,0.145721166,English,German,0.617596052,0.021009028,Spanish,German,English,0.169874621,0.132184349,0.151815498,0.172807791,0.121391051,0.097733983,0.154192707
Seychelles,French,Spanish,German,0.173476005,0.165693904,0.157003891,0.145654994,0.165693904,0.173476005,0.148003671,0.177604406,0.165213401,0.162689307,0.107159247,0.098210188,0.14111978,English,German,0.610440986,0.05843061,French,Spanish,German,0.125179856,0.182733813,0.148201439,0.191366906,0.109352518,0.102158273,0.141007194
Sierra-Leone,French,Spanish,English,0.392928089,0.179181565,0.097934048,0.097934048,0.179181565,0.392928089,0.202720491,0.206669592,0.150065818,0.156647652,0.113646336,0.059675296,0.110574814,English,French,0.687524831,0.036750099,French,Spanish,English,0.214492754,0.188405797,0.130434783,0.173913043,0.104347826,0.072463768,0.115942029
